date,forecast_temperature_2m_max,forecast_temperature_2m_min,forecast_temperature_2m_mean,forecast_precipitation_sum,forecast_wind_speed_10m_max,actual_temperature_2m_max,actual_temperature_2m_min,actual_temperature_2m_mean,actual_precipitation_sum,actual_wind_speed_10m_max,error_temperature_2m_max,abs_error_temperature_2m_max,error_temperature_2m_min,abs_error_temperature_2m_min,error_temperature_2m_mean,abs_error_temperature_2m_mean,error_precipitation_sum,abs_error_precipitation_sum,error_wind_speed_10m_max,abs_error_wind_speed_10m_max
2025-05-16,8.931001,5.831,7.1643333,14.300001,28.08,8.9,4.8,6.679168,9.599999,27.82325,0.031001091,0.031001091,1.0309997,1.0309997,0.48516512,0.48516512,4.7000017,4.7000017,0.2567501,0.2567501
2025-05-17,9.331,4.481,7.2476673,11.000002,25.56,11.0,4.1,7.195832,7.2999997,25.745035,-1.6689997,1.6689997,0.38100004,0.38100004,0.051835537,0.051835537,3.7000022,3.7000022,-0.1850357,0.1850357
2025-05-18,11.6310005,5.981,8.701833,2.0,11.879999,10.65,3.85,7.4979167,2.1,8.297589,0.9810009,0.9810009,2.131,2.131,1.2039161,1.2039161,-0.099999905,0.099999905,3.5824099,3.5824099
2025-05-19,16.331,5.481,11.695582,0.0,15.119999,14.8,3.6,10.195832,0.0,11.521406,1.5309992,1.5309992,1.881,1.881,1.4997501,1.4997501,0.0,0.0,3.5985928,3.5985928
2025-05-20,21.331,10.081,15.978916,1.2,15.84,20.45,8.15,14.483335,0.6,15.778516,0.8809986,0.8809986,1.9310007,1.9310007,1.4955816,1.4955816,0.6,0.6,0.061484337,0.061484337
2025-05-21,24.081,12.731,17.29142,6.6,17.64,22.4,10.35,16.831251,0.0,16.189997,1.6809998,1.6809998,2.3809996,2.3809996,0.46016884,0.46016884,6.6,6.6,1.4500027,1.4500027
2025-05-22,19.880999,12.181001,15.556001,3.8999999,20.16,20.25,10.95,15.018752,5.7,15.077082,-0.3690014,0.3690014,1.2310009,1.2310009,0.5372486,0.5372486,-1.8,1.8,5.082918,5.082918
2025-05-23,15.281,9.931001,12.510167,3.3999999,13.32,15.55,8.95,11.770831,2.6,11.897714,-0.26900005,0.26900005,0.9810009,0.9810009,0.739336,0.739336,0.79999995,0.79999995,1.422286,1.422286
2025-05-24,15.3810005,11.181001,13.17475,0.3,12.599999,15.8,8.5,12.404168,0.0,9.914717,-0.41899967,0.41899967,2.6810007,2.6810007,0.7705822,0.7705822,0.3,0.3,2.6852827,2.6852827
2025-05-25,19.931,9.031,15.495583,0.0,10.440001,19.4,5.45,13.764585,0.0,8.461914,0.53100014,0.53100014,3.5810003,3.5810003,1.730998,1.730998,0.0,0.0,1.9780865,1.9780865
