datetime,price,hour,day_of_week,month,is_weekend,is_peak_hour,is_super_peak,hour_sin,hour_cos,dow_sin,dow_cos,price_lag_1h,price_lag_2h,price_lag_3h,price_lag_6h,price_lag_12h,price_lag_24h,price_mean_6h,price_std_6h,price_max_6h,price_min_6h,price_mean_12h,price_std_12h,price_max_12h,price_min_12h,price_mean_24h,price_std_24h,price_max_24h,price_min_24h,price_change_1h,price_change_24h,net_flow,active_connections,avg_flow,temperature,wind_speed,cloud_cover,wind_power_potential
2026-03-03,493.3,0.0,2.0,3.0,0,0,0,0.0,1.0,0.9749279121818236,-0.22252093395631434,486.57,464.52,483.5,442.91,787.63,404.98,474.2933333333333,15.763933096364827,493.3,452.67,489.03416666666664,105.5351152640102,817.5,425.62,401.24666666666667,195.31531520498635,817.5,141.39,0.013831514478903406,0.21808484369598502,1281.4499999999998,12,106.78749999999998,4.1,10.1,0.0,1.030301
2026-03-03,504.04,0.0,2.0,3.0,0,0,0,0.0,1.0,0.9749279121818236,-0.22252093395631434,493.3,486.57,464.52,452.67,817.5,319.28,482.855,15.620440134644124,504.04,464.52,462.91249999999997,24.608830316483612,504.04,425.62,408.945,195.5851037939417,817.5,141.39,0.02177174133387383,0.5786770233024308,1281.4499999999998,12,106.78749999999998,4.1,10.1,0.0,1.030301
2026-03-03,514.66,0.0,2.0,3.0,0,0,0,0.0,1.0,0.9749279121818236,-0.22252093395631434,504.04,493.3,486.57,465.2,425.62,272.41,491.09833333333336,17.39042543087051,514.66,464.52,470.3325,25.73984570307703,514.66,436.38,419.03875,194.48034426919654,817.5,141.39,0.021069756368542025,0.8892845343416171,1281.4499999999998,12,106.78749999999998,4.1,10.1,0.0,1.030301
2026-03-03,556.63,0.0,2.0,3.0,0,0,0,0.0,1.0,0.9749279121818236,-0.22252093395631434,530.12,514.66,504.04,464.52,442.11,220.67,514.2199999999999,25.91298130281431,556.63,486.57,487.6875,34.04022463471498,556.63,442.91,445.2441666666666,187.92635516204942,817.5,141.39,0.050007545461404845,1.5224543435899762,1281.4499999999998,12,106.78749999999998,4.1,10.1,0.0,1.030301
2026-03-03,580.15,0.0,2.0,3.0,0,0,0,0.0,1.0,0.9749279121818236,-0.22252093395631434,556.63,530.12,514.66,486.57,458.13,191.87,529.8166666666667,33.10625117204715,580.15,493.3,497.85583333333335,41.75799748297229,580.15,442.91,461.42249999999996,181.77801039466644,817.5,141.39,0.042254280222050467,2.02366185438057,1281.4499999999998,12,106.78749999999998,4.1,10.1,0.0,1.030301
2026-03-03,636.31,0.0,2.0,3.0,0,0,0,0.0,1.0,0.9749279121818236,-0.22252093395631434,580.15,556.63,530.12,493.3,442.91,164.1,553.6516666666666,49.1504610015682,636.31,504.04,513.9725,54.11652597950975,636.31,452.67,481.09791666666666,173.5672625658463,817.5,141.39,0.09680255106437996,2.8775746496039,1281.4499999999998,12,106.78749999999998,4.1,10.1,0.0,1.030301
2026-03-03,691.67,0.0,2.0,3.0,0,0,0,0.0,1.0,0.9749279121818236,-0.22252093395631434,636.31,580.15,556.63,504.04,452.67,161.7,584.9233333333333,67.52640836492554,691.67,514.66,533.8891666666667,70.88589030757123,691.67,464.52,503.18,164.64869161998797,817.5,141.39,0.0870016187078626,3.2774891774891772,1281.4499999999998,12,106.78749999999998,4.1,10.1,0.0,1.030301
2026-03-03,728.91,0.0,2.0,3.0,0,0,0,0.0,1.0,0.9749279121818236,-0.22252093395631434,691.67,636.31,580.15,514.66,465.2,141.39,620.6316666666667,78.66866324443743,728.91,530.12,555.8649999999999,86.7559695090465,728.91,464.52,527.66,151.6848774669838,817.5,148.14,0.05384070438214761,4.155315085932528,1281.4499999999998,12,106.78749999999998,4.1,10.1,0.0,1.030301
2026-03-03,800.0,0.0,2.0,3.0,0,0,0,0.0,1.0,0.9749279121818236,-0.22252093395631434,728.91,691.67,636.31,530.12,483.5,148.14,665.6116666666666,92.50430009824801,800.0,556.63,582.2399999999999,108.21279465605164,800.0,464.52,554.8208333333333,138.56712885556715,817.5,344.45,0.09752918741682781,4.400297016335899,1281.4499999999998,12,106.78749999999998,4.1,10.1,0.0,1.030301
2026-03-03,817.5,0.0,2.0,3.0,0,0,0,0.0,1.0,0.9749279121818236,-0.22252093395631434,787.63,772.72,344.45,161.7,319.28,419.42,501.97166666666664,326.9533711963629,817.5,141.39,354.9775,270.2305295021271,817.5,141.39,428.4391666666667,221.5159981251068,817.5,141.39,0.037923898277109735,0.9491202136283439,1281.4499999999998,12,106.78749999999998,4.1,10.1,0.0,1.030301
2026-03-03,165.3,0.0,2.0,3.0,0,0,0,0.0,1.0,0.9749279121818236,-0.22252093395631434,800.99,800.0,728.91,580.15,486.57,772.72,637.1966666666666,239.74949890806178,800.99,165.3,583.5066666666667,172.54001477039975,800.99,165.3,548.5341666666667,156.2134552996849,817.5,165.3,-0.7936303824017779,-0.7860803395796666,1281.4499999999998,12,106.78749999999998,4.1,10.1,0.0,1.030301
2026-03-03,465.79,0.0,2.0,3.0,0,0,0,0.0,1.0,0.9749279121818236,-0.22252093395631434,191.88,409.45,405.89,408.13,406.39,188.34,380.5083333333334,95.43516195127802,465.79,191.88,393.605,65.82140899295679,465.79,191.88,418.3595833333334,109.40030468438474,840.53,191.88,1.427506775067751,1.4731336943824997,1281.4499999999998,12,106.78749999999998,4.1,10.1,0.0,1.030301
2026-03-03,772.72,0.0,2.0,3.0,0,0,0,0.0,1.0,0.9749279121818236,-0.22252093395631434,344.45,148.14,141.39,191.87,741.33,,288.75,249.1966763823307,772.72,141.39,281.57166666666666,176.13740663229805,772.72,141.39,,,,,1.2433444621860938,,1281.4499999999998,12,106.78749999999998,4.1,10.1,0.0,1.030301
2026-03-03,219.35,0.0,2.0,3.0,0,0,0,0.0,1.0,0.9749279121818236,-0.22252093395631434,840.53,188.34,165.3,728.91,514.66,425.62,502.41833333333335,341.8891747579421,840.53,165.3,561.525,244.4489179767422,840.53,165.3,515.92875,176.252336039098,840.53,165.3,-0.7390337049242739,-0.4846341807245901,1281.4499999999998,12,106.78749999999998,4.1,10.1,0.0,1.030301
2026-03-03,406.39,0.0,2.0,3.0,0,0,0,0.0,1.0,0.9749279121818236,-0.22252093395631434,413.21,416.49,416.49,425.69,188.34,493.3,416.9983333333334,7.020992569906013,425.08,406.39,443.1141666666667,139.12382682398965,840.53,219.35,500.60375,181.77519668206753,840.53,165.3,-0.01650492485661037,-0.17618082302858307,1281.4499999999998,12,106.78749999999998,4.1,10.1,0.0,1.030301
2026-03-03,454.73,0.0,2.0,3.0,0,0,0,0.0,1.0,0.9749279121818236,-0.22252093395631434,219.35,840.53,188.34,800.0,530.12,436.38,444.8733333333334,309.2868589944724,840.53,165.3,555.2425,246.2912667452909,840.53,165.3,516.6933333333333,175.9317592918806,840.53,165.3,1.0730795532254391,0.04205050643934194,1281.4499999999998,12,106.78749999999998,4.1,10.1,0.0,1.030301
2026-03-03,443.05,0.0,2.0,3.0,0,0,0,0.0,1.0,0.9749279121818236,-0.22252093395631434,454.73,219.35,840.53,800.99,556.63,442.11,385.21666666666664,256.9523468401615,840.53,165.3,545.7775,248.40646054125966,840.53,165.3,516.7325,175.91453711217642,840.53,165.3,-0.025685571657906858,0.002126167695822412,1281.4499999999998,12,106.78749999999998,4.1,10.1,0.0,1.030301
2026-03-03,432.03,0.0,2.0,3.0,0,0,0,0.0,1.0,0.9749279121818236,-0.22252093395631434,443.05,454.73,219.35,165.3,580.15,458.13,429.6716666666667,233.27803517833965,840.53,188.34,533.4341666666667,250.2166691074806,840.53,165.3,515.645,176.37264615876086,840.53,165.3,-0.024873039160365762,-0.056970728832427486,1281.4499999999998,12,106.78749999999998,4.1,10.1,0.0,1.030301
2026-03-03,425.69,0.0,2.0,3.0,0,0,0,0.0,1.0,0.9749279121818236,-0.22252093395631434,432.03,443.05,454.73,188.34,636.31,442.91,469.23,202.22705971259143,840.53,219.35,515.8825,249.73091570091634,840.53,165.3,514.9275,176.7160955305577,840.53,165.3,-0.014674906835173473,-0.038879230543451326,1281.4499999999998,12,106.78749999999998,4.1,10.1,0.0,1.030301
2026-03-03,425.08,0.0,2.0,3.0,0,0,0,0.0,1.0,0.9749279121818236,-0.22252093395631434,425.69,432.03,443.05,840.53,691.67,452.67,399.9883333333333,89.21659092717381,454.73,219.35,493.6666666666667,244.4738622702503,840.53,165.3,513.7779166666667,177.22770462536423,840.53,165.3,-0.0014329676525171031,-0.060949477544348096,1281.4499999999998,12,106.78749999999998,4.1,10.1,0.0,1.030301
2026-03-03,424.33,0.0,2.0,3.0,0,0,0,0.0,1.0,0.9749279121818236,-0.22252093395631434,425.08,425.69,432.03,219.35,728.91,465.2,434.15166666666664,12.308612296545917,454.73,424.33,468.285,233.3899511157628,840.53,165.3,512.075,177.90980631378554,840.53,165.3,-0.0017643737649383207,-0.08785468615649183,1281.4499999999998,12,106.78749999999998,4.1,10.1,0.0,1.030301
2026-03-03,416.49,0.0,2.0,3.0,0,0,0,0.0,1.0,0.9749279121818236,-0.22252093395631434,424.33,425.08,425.69,454.73,800.0,483.5,427.77833333333336,8.969504817250447,443.05,416.49,436.3258333333333,208.79976987353785,840.53,165.3,509.2829166666667,178.90081601095073,840.53,165.3,-0.018476185987321148,-0.1385935884177869,1281.4499999999998,12,106.78749999999998,4.1,10.1,0.0,1.030301
2026-03-03,413.21,0.0,2.0,3.0,0,0,0,0.0,1.0,0.9749279121818236,-0.22252093395631434,416.49,416.49,424.33,432.03,165.3,486.57,420.215,5.429518394849556,425.69,413.21,424.9433333333334,157.39611074860716,840.53,188.34,504.22499999999997,180.67909339850124,840.53,165.3,-0.007875339143797011,-0.15076967342828373,1281.4499999999998,12,106.78749999999998,4.1,10.1,0.0,1.030301
2026-03-03,406.93,0.0,2.0,3.0,0,0,0,0.0,1.0,0.9749279121818236,-0.22252093395631434,406.39,413.21,416.49,425.08,840.53,504.04,413.97333333333336,6.747235483268297,424.33,406.39,406.98083333333335,60.76210473617269,454.73,219.35,496.55750000000006,182.77345697908913,840.53,165.3,0.0013287728536628407,-0.19266328069200855,1281.4499999999998,12,106.78749999999998,4.1,10.1,0.0,1.030301
2026-03-03,191.88,0.0,2.0,3.0,0,0,0,0.0,1.0,0.9749279121818236,-0.22252093395631434,409.45,405.89,403.96,409.42,413.21,165.3,370.8983333333333,87.7214134443048,409.45,191.88,388.655,62.023301119966916,410.58,191.88,406.7991666666667,118.45486023088635,840.53,188.34,-0.5313713518134082,0.16079854809437366,1281.4499999999998,12,106.78749999999998,4.1,10.1,0.0,1.030301
2026-03-03,403.22,0.0,2.0,3.0,0,0,0,0.0,1.0,0.9749279121818236,-0.22252093395631434,406.93,406.39,413.21,424.33,219.35,514.66,410.4550000000001,5.6873113155521295,416.49,403.22,422.30333333333334,15.385451412014202,454.73,403.22,491.9141666666667,183.70674605768139,840.53,165.3,-0.009117047157987779,-0.21653130221894057,1281.4499999999998,12,106.78749999999998,4.1,10.1,0.0,1.030301
2026-03-03,401.93,0.0,2.0,3.0,0,0,0,0.0,1.0,0.9749279121818236,-0.22252093395631434,403.22,406.93,406.39,416.49,454.73,530.12,408.02833333333336,5.703502140498732,416.49,401.93,417.90333333333325,12.55930392782362,443.05,401.93,486.5729166666667,184.40982788766428,840.53,165.3,-0.0031992460691434577,-0.24181317437561312,1281.4499999999998,12,106.78749999999998,4.1,10.1,0.0,1.030301
2026-03-03,410.58,0.0,2.0,3.0,0,0,0,0.0,1.0,0.9749279121818236,-0.22252093395631434,401.93,403.22,406.93,416.49,443.05,556.63,407.04333333333335,4.283445653521648,413.21,401.93,415.19750000000005,9.855848402202671,432.03,401.93,480.4875,184.40725248045774,840.53,165.3,0.021521160401064776,-0.2623825521441532,1281.4499999999998,12,106.78749999999998,4.1,10.1,0.0,1.030301
2026-03-03,409.42,0.0,2.0,3.0,0,0,0,0.0,1.0,0.9749279121818236,-0.22252093395631434,410.58,401.93,403.22,413.21,432.03,580.15,406.41166666666663,3.3753898540277545,410.58,401.93,413.3133333333333,8.39892128715381,425.69,401.93,473.37375000000003,183.6871447967629,840.53,165.3,-0.0028252715670513684,-0.2942859605274497,1281.4499999999998,12,106.78749999999998,4.1,10.1,0.0,1.030301
2026-03-03,408.13,0.0,2.0,3.0,0,0,0,0.0,1.0,0.9749279121818236,-0.22252093395631434,409.42,410.58,401.93,406.39,425.69,636.31,406.70166666666665,3.447140360744474,410.58,401.93,411.84999999999997,7.531446800516899,425.08,401.93,463.86625,180.7690514059186,840.53,165.3,-0.0031507986908310137,-0.3585987961842497,1281.4499999999998,12,106.78749999999998,4.1,10.1,0.0,1.030301
2026-03-03,406.08,0.0,2.0,3.0,0,0,0,0.0,1.0,0.9749279121818236,-0.22252093395631434,408.13,409.42,410.58,406.93,425.08,691.67,406.56,3.4533404118341484,410.58,401.93,410.26666666666665,6.411114402248002,424.33,401.93,451.96666666666664,174.40926991385533,840.53,165.3,-0.005022909367113471,-0.4128992149435424,1281.4499999999998,12,106.78749999999998,4.1,10.1,0.0,1.030301
2026-03-03,403.96,0.0,2.0,3.0,0,0,0,0.0,1.0,0.9749279121818236,-0.22252093395631434,406.08,408.13,409.42,403.22,424.33,728.91,406.68333333333334,3.320871371594145,410.58,401.93,408.56916666666666,4.857467462725569,416.49,401.93,438.4270833333333,164.29493515385718,840.53,165.3,-0.005220646178093036,-0.4458026368138728,1281.4499999999998,12,106.78749999999998,4.1,10.1,0.0,1.030301
